observed,place,weather,e_coli,coliform_bacteria,cod,water_temperature,total_residual_cl,nh3_n,pH,latitude,longitude
2014-08-13,"""é≈""","""ÇÕÇÍ""",5690,3860,7.6,25.8,0.14,0.2,7.98,35.654938,139.7479837
2014-08-13,"""åÀâz""","""ÇÕÇÍ""",0,550,2,28.7,0.1,0.33,8.13,35.6099186,139.7211928
2014-08-18,"""ìåòaêeêÖ""","""ÇÕÇÍ""",0,0,2.1,31.7,0.13,0.2,7.97,35.7721122,139.8439514
2014-10-25,"""âπñ≥êÏ""","""ÇÕÇÍ""",950,10950,2,16.7,0.1,0.2,8.61,,
2014-10-25,"""é¨ì¸""","""ÇÕÇÍ""",0,0,2,19.8,0.86,0.2,8.31,,
2014-10-25,"""îÚíπéR""","""ÇÕÇÍ""",0,0,7,-,0.1,0.2,-,,
2014-10-28,"""ëÂâ°êÏÇP""","""ÇÕÇÍ""",0,150,2,17.8,0.1,0.2,7.76,,
2014-10-28,"""ëÂâ°êÏÇQ""","""ÇÕÇÍ""",900,2250,2,18.4,0.1,0.2,8.37,,
2014-11-05,"""äãè¸Ç†ÇÁÇ©ÇÌ""","""Ç≠Ç‡ÇË""",0,11900,9.1,18.2,0.1,0.2,8.13,,
2014-11-12,"""ë„ÅXñÿ""","""Ç≠Ç‡ÇË""",1550,10100,2.5,15.4,0.1,0.2,8.75,,
2014-11-12,"""êVèhíÜâõ""","""Ç≠Ç‡ÇË""",0,3550,2,13.3,0.1,0.2,8.54,,
2014-11-23,"""êÖå≥""","""ÇÕÇÍ""",700,2200,4.9,17.8,0.2,0.2,10.39,,
2014-11-23,"""ìåàªê£ÇP""","""ÇÕÇÍ""",200,8250,3.8,14,0,0.59,8.36,,
2014-11-23,"""ìåàªê£ÇQ""","""ÇÕÇÍ""",200,5750,4.3,13.8,0,0.68,8.23,,
2014-11-29,"""ïXêÏ""","""Ç†Çﬂ""",0,0,2,15.4,0.1,0.2,8.4,,
2014-11-29,"""ûwí¨""","""Ç†Çﬂ""",150,100,2,-,0.1,0.2,-,,
2014-12-07,"""ëcétíJ""","""Ç†Çﬂ""",100,6250,16.2,8.2,0.1,0.2,8.42,,
2014-12-17,"""à‰ÇÃì™""","""Ç≠Ç‡ÇË""",0,500,3.3,6.3,0,0.2,8.55,,
2014-12-26,"""ïÇä‘""","""ÇÕÇÍ""",0,500,5.7,7.4,0,0.2,8.41,,
2014-12-26,"""èMìnêÖï”""","""ÇÕÇÍ""",400,4450,8,15.7,0,0.91,7.78,,
2014-12-26,"""çÇìáïΩâwëO""","""ÇÕÇÍ""",0,1700,4.5,5.5,0,0.2,8.25,,
2015-01-06,"""ê_ï€í¨à§ëSÇP""","""Ç†Çﬂ""",0,50,4.8,-,0.1,0.2,-,,
2015-01-06,"""ê_ï€í¨à§ëSÇQ""","""Ç†Çﬂ""",0,2550,5,-,0.1,0.2,-,,
2015-01-06,"""ñkÇÃä€""","""Ç†Çﬂ""",0,5800,5.2,6.8,0.1,0.2,9.08,,
2015-01-06,"""ñ»âÿ""","""Ç†Çﬂ""",4500,2150,3.9,-,0.1,0.2,-,,
2015-01-07,"""é≈""","""Ç≠Ç‡ÇË""",1000,1750,5.9,8,0,0.2,8.45,,
2015-01-07,"""ìôÅXóÕåkíJ""","""Ç≠Ç‡ÇË""",1000,4700,4.9,9.8,0,0.61,8.65,,
2015-01-07,"""åÀâz""","""Ç≠Ç‡ÇË""",0,50,2,5.8,0,0.29,8.57,,
2014-10-28,"""ãTåÀíÜâõ""",,,,,,,,,,
2014-11-23,"""ìåàªê£Ç∂Ç·Ç‘Ç∂Ç·Ç‘""",,,,,,,,,,
2014-12-07,"""ëcétíJ1Ç©èä""",,,,,,,,,,
2014-12-26,"""ê‘íÀ""",,,,,,,,,,
,,,,,,,,,,,
